ID 		Donations
111 		233.33
777 		4396.77
433 		1000.50
556 		999.50
666 		2200.00
114 		2342.23
234 		7475.20
978 		5423.50
213 		3845.20
347 		1928.89
328 		4872.12
396 		1298.21
489 		9283.43
109 		5489.12
895 		1238.34
958 		4587.21


After selection sort(ID)

ID 		Donations
109 		5489.12
111 		233.33
114 		2342.23
213 		3845.20
234 		7475.20
328 		4872.12
347 		1928.89
396 		1298.21
433 		1000.50
489 		9283.43
556 		999.50
666 		2200.00
777 		4396.77
895 		1238.34
958 		4587.21
978 		5423.50


After bubble sort(Donation)

ID 		Donations
111 		233.33
556 		999.50
433 		1000.50
895 		1238.34
396 		1298.21
347 		1928.89
666 		2200.00
114 		2342.23
213 		3845.20
777 		4396.77
958 		4587.21
328 		4872.12
978 		5423.50
109 		5489.12
234 		7475.20
489 		9283.43


